95, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
96, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
97, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
98, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
99, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
100, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
101, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
102, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
103, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.028382, Best Instance Accuracy: 0.352657
104, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
105, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
106, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
107, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
108, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
109, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
110, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
111, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
112, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.028382, Best Instance Accuracy: 0.352657
113, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.028382, Best Instance Accuracy: 0.352657
114, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
115, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.041667, Best Instance Accuracy: 0.352657
116, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.097826, Best Instance Accuracy: 0.352657
117, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
118, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
119, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
120, Train Instance Accuracy: 0.405303, Test Instance Accuracy: 0.098430, Best Instance Accuracy: 0.352657
121, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
122, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
123, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
124, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
125, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.041667, Best Instance Accuracy: 0.352657
126, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
127, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.083937, Best Instance Accuracy: 0.352657
128, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.224638, Best Instance Accuracy: 0.352657
129, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.224638, Best Instance Accuracy: 0.352657
130, Train Instance Accuracy: 0.306818, Test Instance Accuracy: 0.196256, Best Instance Accuracy: 0.352657
131, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.140097, Best Instance Accuracy: 0.352657
132, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.057367, Best Instance Accuracy: 0.352657
133, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
134, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.098430, Best Instance Accuracy: 0.352657
135, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
136, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.055556, Best Instance Accuracy: 0.352657
137, Train Instance Accuracy: 0.314394, Test Instance Accuracy: 0.097826, Best Instance Accuracy: 0.352657
138, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.126812, Best Instance Accuracy: 0.352657
139, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.169082, Best Instance Accuracy: 0.352657
140, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.196860, Best Instance Accuracy: 0.352657
141, Train Instance Accuracy: 0.416667, Test Instance Accuracy: 0.153986, Best Instance Accuracy: 0.352657
142, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.112319, Best Instance Accuracy: 0.352657
143, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
144, Train Instance Accuracy: 0.318182, Test Instance Accuracy: 0.085145, Best Instance Accuracy: 0.352657
145, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
146, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.028382, Best Instance Accuracy: 0.352657
147, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
148, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
149, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.042874, Best Instance Accuracy: 0.352657
150, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.098430, Best Instance Accuracy: 0.352657
151, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
152, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.141304, Best Instance Accuracy: 0.352657
153, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
154, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.142512, Best Instance Accuracy: 0.352657
155, Train Instance Accuracy: 0.397727, Test Instance Accuracy: 0.169686, Best Instance Accuracy: 0.352657
156, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.169082, Best Instance Accuracy: 0.352657
157, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
158, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
159, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
160, Train Instance Accuracy: 0.405303, Test Instance Accuracy: 0.126812, Best Instance Accuracy: 0.352657
161, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.085145, Best Instance Accuracy: 0.352657
162, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.099638, Best Instance Accuracy: 0.352657
163, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
164, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
165, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.169686, Best Instance Accuracy: 0.352657
166, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.183575, Best Instance Accuracy: 0.352657
167, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.155193, Best Instance Accuracy: 0.352657
168, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.126812, Best Instance Accuracy: 0.352657
169, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
170, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
171, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
172, Train Instance Accuracy: 0.409091, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
173, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
174, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
175, Train Instance Accuracy: 0.401515, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
176, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
177, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.099638, Best Instance Accuracy: 0.352657
178, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
179, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.085145, Best Instance Accuracy: 0.352657
180, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
181, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
182, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
183, Train Instance Accuracy: 0.412879, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
184, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
185, Train Instance Accuracy: 0.405303, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
186, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
187, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.055556, Best Instance Accuracy: 0.352657
188, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
189, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
190, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
191, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
192, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
193, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
194, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
195, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
196, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.083937, Best Instance Accuracy: 0.352657
197, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
198, Train Instance Accuracy: 0.397727, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
199, Train Instance Accuracy: 0.412879, Test Instance Accuracy: 0.083937, Best Instance Accuracy: 0.352657
200, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
201, Train Instance Accuracy: 0.409091, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
202, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.083937, Best Instance Accuracy: 0.352657
203, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
204, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
205, Train Instance Accuracy: 0.431818, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
206, Train Instance Accuracy: 0.405303, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
207, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
208, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
209, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
